Date,Open,High,Low,Close,Adj Close,Volume
2018-02-12,1489.150024,1511.675049,1477.775024,1483.650024,1377.088257,1974562
2018-02-14,1485.000000,1487.224976,1446.250000,1455.900024,1351.331421,2847532
2018-02-15,1465.974976,1471.500000,1452.550049,1462.925049,1357.851685,2465236
2018-02-16,1461.500000,1499.800049,1461.500000,1466.525024,1361.193115,2515756
2018-02-19,1472.500000,1476.650024,1447.599976,1461.800049,1356.807861,1568224
2018-02-20,1464.000000,1492.525024,1463.949951,1472.375000,1366.623047,1889068
2018-02-21,1487.000000,1531.300049,1480.025024,1521.150024,1411.894653,3089228
2018-02-22,1526.000000,1539.500000,1511.250000,1525.099976,1415.561035,3463010
2018-02-23,1525.000000,1544.500000,1496.050049,1537.900024,1427.441895,3362500
2018-02-26,1537.500000,1544.974976,1510.599976,1515.849976,1406.975586,1363882
2018-02-27,1520.500000,1539.275024,1516.000000,1521.175049,1411.917969,1717800
2018-02-28,1517.500000,1531.974976,1510.724976,1517.525024,1408.530396,2706864
2018-03-01,1524.500000,1530.599976,1510.000000,1518.849976,1409.760254,1718124
2018-03-05,1524.500000,1556.824951,1516.474976,1552.925049,1441.387695,2858168
2018-03-06,1561.000000,1563.500000,1515.074951,1521.400024,1412.126953,1906764
2018-03-07,1535.000000,1544.500000,1509.250000,1513.724976,1405.003296,1917772
2018-03-08,1527.449951,1527.449951,1493.750000,1501.974976,1394.097168,1951826
2018-03-09,1502.500000,1531.599976,1488.599976,1517.050049,1408.089233,1872436
2018-03-12,1521.500000,1541.949951,1517.750000,1526.074951,1416.466309,2091340
2018-03-13,1462.449951,1469.849976,1436.000000,1443.400024,1339.729248,88067154
2018-03-14,1446.474976,1461.525024,1437.525024,1443.449951,1339.775513,3668668
2018-03-15,1447.500000,1451.275024,1427.800049,1434.849976,1331.793213,2348906
2018-03-16,1434.400024,1436.000000,1402.500000,1412.849976,1311.373291,7197482
2018-03-19,1414.500000,1424.000000,1410.000000,1415.500000,1313.833130,3489940
2018-03-20,1410.000000,1436.599976,1409.500000,1432.425049,1329.542358,4024984
2018-03-21,1436.250000,1442.150024,1425.000000,1428.375000,1325.783203,3907678
2018-03-22,1429.974976,1437.974976,1411.275024,1415.675049,1313.995239,2326094
2018-03-23,1401.000000,1417.050049,1399.025024,1409.074951,1307.869507,3654122
2018-03-26,1409.500000,1413.699951,1390.775024,1408.500000,1307.335693,2964210
2018-03-27,1412.500000,1431.500000,1411.525024,1423.849976,1321.583252,2494574
2018-03-28,1417.949951,1437.500000,1412.500000,1424.574951,1322.256348,6865654
2018-04-02,1420.000000,1457.000000,1420.000000,1454.824951,1350.333496,1662988
2018-04-03,1446.050049,1464.949951,1446.050049,1455.625000,1351.076294,1937290
2018-04-04,1464.724976,1467.000000,1446.000000,1455.449951,1350.913574,2841820
2018-04-05,1463.275024,1481.875000,1460.175049,1478.974976,1372.748901,1809424
2018-04-06,1477.000000,1480.000000,1463.275024,1475.150024,1369.198853,1129018
2018-04-09,1469.849976,1481.750000,1457.500000,1461.949951,1356.946655,1235866
2018-04-10,1462.849976,1478.625000,1462.849976,1468.800049,1363.305054,1184532
2018-04-11,1475.300049,1512.500000,1472.800049,1507.074951,1398.830688,3124416
2018-04-12,1505.000000,1575.000000,1503.974976,1569.625000,1456.888062,6114360
2018-04-13,1575.000000,1620.400024,1566.050049,1576.650024,1463.408691,8179118
2018-04-16,1558.000000,1599.974976,1555.375000,1593.824951,1479.350098,6270274
2018-04-17,1593.824951,1597.474976,1573.599976,1583.300049,1469.581055,3301724
2018-04-18,1583.000000,1596.724976,1572.925049,1579.550049,1466.100342,2433066
2018-04-19,1589.949951,1608.599976,1582.875000,1595.574951,1480.974609,4820952
2018-04-20,1625.000000,1711.175049,1620.000000,1701.224976,1579.036133,18465662
2018-04-23,1712.000000,1778.949951,1694.775024,1704.324951,1581.913330,15185910
2018-04-24,1705.000000,1721.574951,1671.250000,1692.824951,1571.239258,8314336
2018-04-25,1692.500000,1741.500000,1682.525024,1735.125000,1610.501343,8196574
2018-04-26,1733.500000,1780.000000,1733.500000,1769.625000,1642.523560,12135034
2018-04-27,1762.500000,1772.000000,1710.000000,1725.974976,1602.008423,4501330
2018-04-30,1725.974976,1774.500000,1718.800049,1766.050049,1639.205200,3458558
2018-05-02,1765.250000,1766.099976,1735.650024,1749.875000,1624.192017,3158046
2018-05-03,1754.900024,1763.000000,1735.199951,1740.925049,1615.884888,3761550
2018-05-04,1746.000000,1748.500000,1735.000000,1740.375000,1615.374146,2347244
2018-05-07,1745.000000,1745.000000,1705.449951,1710.474976,1587.621704,3484426
2018-05-08,1717.349976,1743.250000,1698.349976,1720.599976,1597.019287,2992820
2018-05-09,1720.099976,1747.375000,1720.099976,1744.650024,1619.342285,2615050
2018-05-10,1751.474976,1755.574951,1720.099976,1725.625000,1601.683594,3858678
2018-05-11,1727.099976,1742.500000,1721.250000,1728.474976,1604.328979,2627876
2018-05-14,1728.500000,1735.500000,1705.400024,1716.775024,1593.469360,2433894
2018-05-15,1725.000000,1747.900024,1716.849976,1741.199951,1616.140015,1952890
2018-05-16,1739.974976,1754.500000,1737.625000,1746.949951,1621.476807,1648450
2018-05-17,1756.474976,1766.574951,1738.000000,1745.900024,1620.502319,2968048
2018-05-18,1740.400024,1758.849976,1729.000000,1751.025024,1625.259644,1874996
2018-05-21,1764.349976,1796.000000,1759.025024,1778.375000,1650.644897,3446178
2018-05-22,1779.000000,1787.474976,1746.849976,1754.449951,1628.438354,1857416
2018-05-23,1762.500000,1772.500000,1740.500000,1747.550049,1622.033813,1507298
2018-05-24,1755.000000,1807.500000,1751.175049,1801.849976,1672.433716,2962316
2018-05-25,1812.500000,1837.400024,1786.275024,1792.900024,1664.126709,3769772
