Date,Open,High,Low,Close,Adj Close,Volume
2018-10-26,1070.000000,1081.500000,977.000000,1055.550049,1045.901367,4265919
2018-10-29,1065.000000,1105.000000,1047.099976,1093.449951,1083.454834,1813832
2018-10-30,1090.000000,1096.400024,1050.000000,1065.050049,1055.314575,1848454
2018-10-31,1070.000000,1089.000000,1012.450012,1083.500000,1073.595825,3360642
2018-11-01,1089.949951,1144.500000,1074.199951,1104.449951,1094.354126,3497318
2018-11-02,1115.000000,1143.300049,1060.099976,1080.099976,1070.226807,2319126
2018-11-05,1084.800049,1084.949951,1045.000000,1052.099976,1042.482788,1654893
2018-11-06,1059.699951,1078.449951,1036.650024,1043.300049,1033.763184,1482310
2018-11-07,1060.000000,1062.699951,1044.000000,1047.800049,1038.222168,187976
2018-11-09,1054.699951,1093.400024,1047.500000,1089.349976,1079.392334,1974434
2018-11-12,1092.349976,1111.000000,1077.000000,1100.949951,1090.886230,1564161
2018-11-13,1102.849976,1157.300049,1084.500000,1151.349976,1140.825439,2747549
2018-11-14,1160.900024,1178.000000,1144.349976,1154.449951,1143.897217,1682757
2018-11-15,1158.800049,1198.699951,1151.000000,1192.500000,1181.599487,1818864
2018-11-16,1199.449951,1222.000000,1173.050049,1191.099976,1180.212158,2025529
2018-11-19,1199.699951,1215.900024,1174.000000,1207.599976,1196.561279,1220803
2018-11-20,1209.949951,1227.949951,1205.000000,1214.199951,1203.100952,1560063
2018-11-21,1214.000000,1223.900024,1195.000000,1213.949951,1202.853271,1213947
2018-11-22,1223.900024,1225.000000,1205.099976,1211.400024,1200.326660,869826
2018-11-26,1217.699951,1236.300049,1213.199951,1228.949951,1217.716187,1221513
2018-11-27,1229.400024,1247.000000,1215.500000,1243.400024,1232.034058,1167044
2018-11-28,1244.000000,1254.000000,1235.000000,1244.800049,1233.421387,1275957
2018-11-29,1248.099976,1250.000000,1224.000000,1228.650024,1217.419067,1127323
2018-11-30,1234.000000,1272.650024,1220.000000,1258.050049,1246.550293,1245114
2018-12-03,1264.849976,1355.000000,1254.050049,1329.949951,1317.792969,3876048
2018-12-04,1321.000000,1348.000000,1315.000000,1335.750000,1323.540039,1550693
2018-12-05,1320.000000,1332.500000,1305.050049,1323.949951,1311.847778,1055417
2018-12-06,1308.500000,1338.900024,1291.900024,1301.849976,1289.949829,1425920
2018-12-07,1304.099976,1309.550049,1222.000000,1243.400024,1232.034058,2348274
2018-12-10,1212.550049,1229.000000,1187.000000,1198.199951,1187.247192,1592583
2018-12-11,1185.000000,1268.400024,1164.050049,1255.949951,1244.469360,2057895
2018-12-12,1265.500000,1271.900024,1216.699951,1232.900024,1221.630127,2258456
2018-12-13,1250.000000,1283.900024,1240.000000,1251.099976,1239.663696,2276979
2018-12-14,1244.000000,1257.800049,1225.000000,1246.550049,1235.155518,1435625
2018-12-17,1259.000000,1280.000000,1248.550049,1276.949951,1265.277466,1246423
2018-12-18,1270.000000,1295.000000,1263.199951,1289.400024,1277.613647,1677757
2018-12-19,1304.000000,1349.000000,1299.300049,1343.650024,1331.367798,2441586
2018-12-20,1335.000000,1370.000000,1325.000000,1353.349976,1340.979004,1826832
2018-12-21,1358.800049,1376.000000,1306.000000,1313.500000,1301.493286,1968751
2018-12-24,1321.750000,1324.750000,1213.849976,1218.949951,1207.807495,3710907
2018-12-26,1206.099976,1238.000000,1146.000000,1232.849976,1221.580688,9568927
2018-12-27,1249.900024,1255.900024,1215.500000,1233.400024,1222.125610,3099448
2018-12-28,1245.000000,1268.150024,1233.800049,1248.650024,1237.236206,2488261
2018-12-31,1253.699951,1262.000000,1241.300049,1252.000000,1240.555542,1508620
2019-01-01,1256.599976,1257.650024,1243.400024,1250.849976,1239.416016,882074
2019-01-02,1244.000000,1276.199951,1229.000000,1239.150024,1227.822998,2793859
2019-01-03,1241.000000,1257.099976,1235.199951,1239.650024,1228.318481,1517963
2019-01-04,1244.500000,1250.400024,1200.250000,1212.099976,1201.020142,2473246
2019-01-07,1224.500000,1236.000000,1208.900024,1217.050049,1205.924927,1211290
2019-01-08,1226.000000,1248.000000,1213.150024,1240.250000,1228.912964,1432995
2019-01-09,1249.000000,1265.500000,1225.000000,1234.150024,1222.868652,2226302
2019-01-10,1236.849976,1243.199951,1223.750000,1233.800049,1222.521973,853461
2019-01-11,1240.000000,1252.000000,1230.599976,1237.599976,1226.287231,1251272
2019-01-14,1235.000000,1236.000000,1210.500000,1214.750000,1203.645996,895577
2019-01-15,1223.000000,1243.000000,1218.900024,1236.000000,1224.701782,989193
2019-01-16,1238.900024,1243.500000,1207.500000,1214.750000,1203.645996,1556003
2019-01-17,1220.000000,1229.500000,1198.000000,1212.300049,1201.218384,1845442
2019-01-18,1222.000000,1227.900024,1211.400024,1217.949951,1206.816772,1253983
2019-01-21,1218.000000,1222.000000,1172.000000,1180.599976,1169.808105,1950472
2019-01-22,1170.000000,1198.000000,1160.000000,1167.150024,1156.481201,2912125
2019-01-23,1167.150024,1185.000000,1165.150024,1173.250000,1162.525391,1423184
2019-01-24,1177.000000,1187.900024,1165.599976,1179.650024,1168.866943,1660507
2019-01-25,1185.900024,1225.099976,1185.349976,1197.849976,1186.900391,2819854
2019-01-28,1197.400024,1212.000000,1183.250000,1202.050049,1191.062134,1239212
2019-01-29,1198.900024,1221.599976,1180.099976,1195.750000,1184.819702,1484356
2019-01-30,1213.000000,1238.900024,1173.800049,1200.199951,1189.229004,6994644
2019-01-31,1230.000000,1270.050049,1216.849976,1258.449951,1246.946411,5199704
2019-02-01,1269.599976,1371.349976,1250.000000,1357.949951,1345.536987,6091028
2019-02-04,1344.000000,1402.900024,1342.000000,1396.500000,1383.734619,3611293
2019-02-05,1355.000000,1365.000000,1205.400024,1303.400024,1291.485596,9418525
2019-02-06,1340.000000,1344.599976,1238.000000,1293.849976,1282.023071,9219435
2019-02-07,1297.000000,1348.000000,1277.599976,1341.150024,1328.890625,3761427
2019-02-08,1335.000000,1362.250000,1321.400024,1347.000000,1334.687134,2446233
2019-02-11,1346.500000,1353.500000,1303.199951,1319.550049,1307.488037,1510329
2019-02-12,1327.000000,1327.849976,1275.099976,1297.449951,1285.589966,1983732
